n,running,averaging
1,41000,41003
2,40686,40687
3,40360,40360
4,40536,40537
5,40200,40201
6,40103,40104
7,40115,40116
8,40038,40039
9,40013,40014
10,39558,39559
11,39734,39735
12,39900,39901
13,39863,39865
14,39944,39945
15,39947,39948
16,39972,39973
17,40039,40040
18,39925,39926
19,39842,39844
20,39888,39890
21,39845,39845
22,39675,39676
23,39183,39184
24,39313,39314
25,39609,39610
26,39534,39534
27,39700,39701
28,39727,39728
29,39696,39697
30,39224,39225
31,39490,39491
32,39823,39824
33,39684,39685
34,40020,40021
35,40055,40056
36,40060,40060
37,39769,39770
38,39758,39759
39,39696,39697
40,39460,39461
41,39529,39529
42,40047,40048
43,39703,39704
44,39885,39887
45,39801,39802
46,39674,39675
47,39627,39627
48,39637,39638
49,39559,39560
50,39558,39559
51,39536,39537
52,39770,39771
53,39295,39296
54,39574,39575
55,39487,39488
56,39495,39496
57,39458,39458
58,39505,39507
59,39442,39442
60,39467,39468
61,39442,39443
62,39190,39191
63,39126,39127
64,38814,38815
65,39190,39191
66,39223,39224
67,38983,38984
68,39107,39108
69,39583,39584
70,39266,39267
71,39524,39525
72,39431,39433
73,39318,39319
74,39268,39269
75,39405,39406
76,39352,39353
77,39318,39319
78,39381,39382
79,39307,39308
80,39341,39342
81,39314,39316
82,39359,39360
83,39022,39023
84,38982,38983
85,39031,39032
86,38983,38984
87,39139,39140
88,39332,39334
89,39230,39231
90,39230,39231
91,39154,39154
92,39171,39172
93,39181,39182
94,39275,39276
95,39265,39266
96,39165,39166
97,39142,39142
98,38832,38833
99,38843,38844
