running,averaging
71595421,71673339
53376684,53421463
52437184,52481971
51787598,51832096
51132523,51177480
50791494,50843833
50748479,50794841
50801456,50845995
50728448,50781087
50565115,50607960
50942910,50985814
50765231,50810069
50618133,50665181
50499755,50546355
50778885,50833312
50507869,50553574
50617155,50661160
50356518,50399946
50521911,50570696
50344291,50404269
50642759,50684774
50711604,50765031
50229299,50274255
50429308,50476026
49935748,49980651
50561213,50611815
49076738,49119904
49070274,49112967
49133139,49176838
49034710,49086338
49710852,49763517
49701849,49771940
49110198,49142985
49264797,49297106
49603573,49635875
48909277,48939006
49238227,49269053
49088638,49118132
49045170,49075611
49359721,49390970
49038294,49070010
49269358,49298688
49349840,49379302
49562973,49591339
49301037,49331728
48915429,48945127
49236428,49271790
48978740,49019844
48857719,48888293
48767846,48797759
48982324,49028855
52383292,52451027
48782944,48815571
48709190,48737808
48640116,48718370
48721871,48753704
48826975,48857340
49115965,49157853
48797191,48881295
48796175,48842245
48837684,48869134
49056972,49086623
48728301,48782414
48577793,48623896
48979695,49018048
48713228,48737986
48550747,48577251
48786490,48810054
48493474,48517975
48700283,48725027
48535831,48559766
49572727,49613697
48695288,48736754
48679210,48736156
48621951,48643946
49042936,49069321
49714977,49759582
48855890,48899836
49188253,49211978
48814945,48838439
48854858,48894733
48968303,48994257
48722280,48747419
48846493,48869401
48936451,48958830
48722229,48743049
48565534,48585776
48785489,48807511
48666066,48686659
48721402,48743999
48545250,48567301
48867235,48888966
49241661,49265036
48625712,48646536
48555832,48579193
48728190,48779807
48498694,48537648
48437572,48454925
48426321,48445658
