n,running,averaging
1,104358,104363
2,69133,69136
3,67406,67409
4,67029,67032
5,67474,67477
6,66751,66754
7,66682,66685
8,66714,66717
9,66306,66309
10,66824,66827
11,66219,66222
12,66382,66384
13,66118,66121
14,66186,66189
15,66476,66479
16,66292,66295
17,67421,67424
18,67251,67255
19,67039,67042
20,66817,66820
21,66666,66669
22,65783,65786
23,65730,65733
24,65609,65612
25,65867,65870
26,65597,65600
27,65519,65522
28,65577,65580
29,66086,66089
30,66053,66056
31,65940,65943
32,66178,66181
33,65840,65843
34,65820,65823
35,65544,65546
36,65547,65550
37,65465,65469
38,65492,65495
39,65457,65460
40,65609,65612
41,65325,65328
42,65295,65297
43,65180,65183
44,65186,65189
45,64884,64887
46,65090,65093
47,65207,65210
48,65305,65308
49,65018,65021
50,65067,65070
51,64950,64953
52,64902,64905
53,65058,65061
54,64776,64778
55,64828,64831
56,64768,64771
57,64726,64729
58,64773,64776
59,64648,64650
60,64638,64641
61,64580,64584
62,64654,64657
63,65309,65312
64,64545,64548
65,64527,64530
66,64492,64495
67,64332,64335
68,64478,64481
69,64522,64526
70,64277,64280
71,64362,64364
72,64253,64256
73,64213,64216
74,64281,64285
75,64176,64179
76,64277,64279
77,64147,64150
78,64180,64183
79,64183,64186
80,64027,64030
81,64081,64085
82,64035,64038
83,64092,64095
84,64085,64087
85,63961,63963
86,63971,63974
87,64074,64077
88,64025,64028
89,64145,64148
90,63936,63940
91,63759,63762
92,63910,63913
93,63816,63819
94,63800,63803
95,64139,64142
96,63683,63686
97,63621,63624
98,63661,63664
99,63668,63672
